Sign,x,y,Z,Roll,Fore,Index,Ring,Little
alive,0.0,0.007812,0.0,0.0,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.25
alive,-0.007812,-0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,-0.007812,-0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,-0.015625,-0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,-0.03125,0.0,0.0,0.75,0.75,0.0,0.0
alive,0.007812,-0.015625,0.0,0.0,0.75,0.75,0.0,0.0
alive,0.0,-0.03125,0.0,0.0,0.75,0.75,0.0,0.0
alive,0.007812,-0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,-0.023438,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.007812,0.0,0.0,0.75,0.75,0.75,0.75
alive,-0.007812,-0.023438,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.03125,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.0,0.007812,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.015625,0.023438,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.015625,0.023438,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.007812,0.023438,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.007812,0.039062,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.25,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.25,0.25,0.25
alive,0.007812,0.0,0.0,0.0,0.75,0.0,0.0,0.0
alive,-0.078125,0.007812,0.0,0.0,0.5,0.75,0.75,0.75
alive,-0.070312,0.0,0.0,0.0,0.5,0.75,0.75,0.75
alive,-0.0625,0.0,0.0,0.0,0.5,0.5,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.75,0.5,0.5,0.5
alive,0.015625,0.0,0.0,0.083333,0.75,0.5,0.5,0.5
alive,0.015625,0.007812,0.0,0.083333,0.75,0.5,0.5,0.5
alive,0.007812,0.0,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.015625,0.0,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.015625,-0.007812,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75
alive,0.015625,0.007812,0.0,0.0,0.5,0.75,0.75,0.75
alive,0.015625,0.007812,0.0,0.083333,0.5,0.75,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,0.007812,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.916667,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,-0.007812,-0.015625,0.0,0.083333,0.75,0.75,0.75,0.75
alive,-0.015625,-0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,-0.007812,-0.023438,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.023438,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,-0.007812,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.007812,0.007812,0.0,0.083333,0.75,0.0,0.0,0.0
alive,0.0,0.0,0.0,0.083333,0.75,0.0,0.0,0.0
alive,-0.015625,-0.007812,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.75,0.25,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.25,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.75
alive,-0.007812,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.007812,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.0,0.015625,0.0,0.083333,0.75,0.75,0.75,0.75
alive,-0.007812,0.007812,0.0,0.083333,0.75,0.5,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.007812,0.0,0.0,0.75,0.75,0.75,0.75
alive,-0.023438,-0.007812,0.0,0.0,0.5,0.5,0.0,0.0
alive,-0.03125,-0.007812,0.0,0.0,0.5,0.5,0.0,0.0
alive,-0.023438,-0.015625,0.0,0.0,0.5,0.5,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alive,0.0,0.007812,0.0,0.0,0.0,0.0,0.0,0.0
alive,0.0,0.007812,0.0,0.0,0.0,0.0,0.0,0.0
alive,-0.070312,0.03125,0.0,0.0,0.75,0.5,0.0,0.0
alive,-0.046875,0.023438,0.0,0.0,0.75,0.5,0.0,0.0
alive,-0.054688,0.039062,0.0,0.0,0.75,0.5,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.015625,0.007812,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.03125,0.0,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.007812,0.007812,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.015625,0.015625,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.015625,0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75
alive,-0.007812,-0.007812,0.0,0.0,0.75,0.0,0.75,0.75
alive,0.0,0.0,0.0,0.083333,0.75,0.0,0.75,0.75
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,-0.007812,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,-0.015625,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.070312,-0.015625,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75
alive,-0.007812,-0.007812,0.0,0.0,0.5,0.75,0.75,0.75
alive,-0.007812,-0.015625,0.0,0.083333,0.5,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.25
alive,0.007812,0.0,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.015625,0.007812,0.0,0.0,0.75,0.5,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.5
alive,0.007812,0.0,0.0,0.0,0.75,0.0,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.007812,0.0,0.0,0.0,0.75,0.0,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.75,0.0,0.75,0.75
alive,0.007812,0.007812,0.0,0.0,0.75,0.0,0.75,0.75
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.007812,0.0,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.046875,0.0,0.0,0.083333,0.75,0.75,0.75,0.75
alive,-0.007812,-0.023438,0.0,0.0,0.75,0.75,0.75,0.75
alive,-0.007812,-0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,0.007812,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,0.023438,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.007812,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,-0.007812,-0.007812,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.0,-0.015625,0.0,0.0,0.5,0.75,0.5,0.5
alive,0.046875,-0.007812,0.0,0.0,0.5,0.75,0.5,0.5
alive,-0.015625,0.007812,0.0,0.0,0.25,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.25
alive,0.007812,0.0,0.0,0.0,0.75,0.75,0.25,0.25
alive,0.007812,-0.007812,0.0,0.0,0.75,0.75,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5
alive,-0.007812,0.0,0.0,0.0,0.75,0.75,0.25,0.25
alive,-0.007812,0.007812,0.0,0.0,0.25,0.75,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.25
alive,0.007812,0.007812,0.0,0.0,0.75,0.75,0.25,0.25
alive,-0.023438,-0.015625,0.0,0.0,0.75,0.75,0.25,0.25
alive,-0.023438,-0.015625,0.0,0.0,0.75,0.75,0.25,0.25
alive,-0.023438,-0.007812,0.0,0.0,0.75,0.75,0.25,0.25
alive,-0.007812,0.0,0.0,0.0,0.5,0.5,0.5,0.5
alive,-0.023438,-0.007812,0.0,0.0,0.5,0.5,0.5,0.5
alive,-0.03125,-0.015625,0.0,0.0,0.5,0.5,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.007812,0.007812,0.0,0.5,0.25,0.0,0.0
alive,0.0,0.0,0.007812,0.0,0.5,0.25,0.0,0.0
alive,0.0,-0.015625,0.007812,0.0,0.5,0.25,0.0,0.0
alive,0.0,0.0,0.0,0.083333,0.5,0.75,0.75,0.75
alive,0.0,0.007812,0.0,0.083333,0.5,0.75,0.75,0.75
alive,0.0,0.007812,0.0,0.083333,0.5,0.75,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.25,0.75,0.75,0.75
alive,0.023438,0.007812,0.0,0.083333,0.25,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.083333,0.25,0.75,0.75,0.75
alive,0.0,0.007812,0.0,0.166667,0.5,0.75,0.75,0.75
alive,0.0,0.007812,0.0,0.166667,0.5,0.75,0.75,0.75
alive,0.0,0.007812,0.0,0.166667,0.5,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.75
alive,0.0,-0.007812,0.0,0.083333,0.25,0.5,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.75
alive,0.007812,0.0,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.007812,0.0,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.083333,0.5,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.083333,0.5,0.5,0.5,0.5
alive,0.0,0.007812,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.0,0.007812,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,-0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.023438,-0.007812,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.015625,-0.015625,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.007812,-0.023438,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.007812,0.0,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.015625,-0.007812,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.015625,-0.015625,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.015625,0.007812,0.0,0.0,0.75,0.25,0.5,0.5
alive,0.0,0.007812,0.0,0.0,0.75,0.25,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.25,0.5,0.5
alive,0.007812,0.0,0.0,0.0,0.75,0.0,0.5,0.5
alive,0.0,-0.007812,0.0,0.0,0.75,0.0,0.5,0.5
alive,0.015625,-0.023438,0.0,0.0,0.75,0.0,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.25,0.5,0.5
alive,-0.015625,-0.007812,0.0,0.0,0.75,0.25,0.5,0.5
alive,-0.015625,-0.007812,0.0,0.0,0.75,0.25,0.5,0.5
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.007812,0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.007812,0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.03125,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.023438,0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.007812,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.007812,0.0,0.0,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.25
alive,-0.007812,-0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,-0.007812,-0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,-0.015625,-0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.007812,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.25,0.25
alive,0.0,-0.03125,0.0,0.0,0.75,0.75,0.0,0.0
alive,0.007812,-0.015625,0.0,0.0,0.75,0.75,0.0,0.0
alive,0.0,-0.03125,0.0,0.0,0.75,0.75,0.0,0.0
alive,0.007812,-0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,-0.023438,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.007812,0.0,0.0,0.75,0.75,0.75,0.75
alive,-0.007812,-0.023438,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.03125,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.0,0.007812,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.015625,0.023438,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.015625,0.023438,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.007812,0.023438,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.007812,0.039062,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.25,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.25,0.25,0.25
alive,0.007812,0.0,0.0,0.0,0.75,0.0,0.0,0.0
alive,-0.078125,0.007812,0.0,0.0,0.5,0.75,0.75,0.75
alive,-0.070312,0.0,0.0,0.0,0.5,0.75,0.75,0.75
alive,-0.0625,0.0,0.0,0.0,0.5,0.5,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.75,0.5,0.5,0.5
alive,0.015625,0.0,0.0,0.083333,0.75,0.5,0.5,0.5
alive,0.015625,0.007812,0.0,0.083333,0.75,0.5,0.5,0.5
alive,0.007812,0.0,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.015625,0.0,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.015625,-0.007812,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75
alive,0.015625,0.007812,0.0,0.0,0.5,0.75,0.75,0.75
alive,0.015625,0.007812,0.0,0.083333,0.5,0.75,0.75,0.75
alive,0.007812,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,0.007812,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.916667,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,-0.007812,-0.015625,0.0,0.083333,0.75,0.75,0.75,0.75
alive,-0.015625,-0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,-0.007812,-0.023438,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.023438,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.007812,-0.007812,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.007812,0.007812,0.0,0.083333,0.75,0.0,0.0,0.0
alive,0.0,0.0,0.0,0.083333,0.75,0.0,0.0,0.0
alive,-0.015625,-0.007812,0.0,0.0,0.75,0.0,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.75,0.25,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.25,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.75
alive,-0.007812,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.007812,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.0,0.015625,0.0,0.083333,0.75,0.75,0.75,0.75
alive,-0.007812,0.007812,0.0,0.083333,0.75,0.5,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,-0.007812,0.0,0.0,0.75,0.75,0.75,0.75
alive,-0.023438,-0.007812,0.0,0.0,0.5,0.5,0.0,0.0
alive,-0.03125,-0.007812,0.0,0.0,0.5,0.5,0.0,0.0
alive,-0.023438,-0.015625,0.0,0.0,0.5,0.5,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alive,0.0,0.007812,0.0,0.0,0.0,0.0,0.0,0.0
alive,0.0,0.007812,0.0,0.0,0.0,0.0,0.0,0.0
alive,-0.070312,0.03125,0.0,0.0,0.75,0.5,0.0,0.0
alive,-0.046875,0.023438,0.0,0.0,0.75,0.5,0.0,0.0
alive,-0.054688,0.039062,0.0,0.0,0.75,0.5,0.0,0.0
alive,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.015625,0.007812,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.03125,0.0,0.0,0.0,0.75,0.5,0.75,0.75
alive,0.007812,0.007812,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.015625,0.015625,0.0,0.083333,0.75,0.75,0.75,0.75
alive,0.015625,0.015625,0.0,0.0,0.75,0.75,0.75,0.75
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75
alive,-0.007812,-0.007812,0.0,0.0,0.75,0.0,0.75,0.75
alive,0.0,0.0,0.0,0.083333,0.75,0.0,0.75,0.75
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,-0.007812,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,-0.015625,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.070312,-0.015625,0.0,0.083333,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75
alive,-0.007812,-0.007812,0.0,0.0,0.5,0.75,0.75,0.75
alive,-0.007812,-0.015625,0.0,0.083333,0.5,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.5
alive,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.25
alive,0.007812,0.0,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.015625,0.0,0.0,0.0,0.75,0.75,0.5,0.5
alive,0.015625,0.007812,0.0,0.0,0.75,0.5,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.25
alive,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.5
